ticker,final_value,profit,return_rate,trade_count,max_drawdown
8035.T,2728572.2544603515,1728572.2544603515,172.85722544603516,15,38.48546035094488
6920.T,2597204.098365039,1597204.098365039,159.72040983650393,11,41.722928860120554
6146.T,3478614.5908323242,2478614.5908323242,247.86145908323243,17,56.62113863616677
7735.T,5427003.456577808,4427003.456577808,442.70034565778076,17,52.09284316326331
6723.T,1328375.1698620117,328375.1698620117,32.837516986201166,17,59.09205803645925
4063.T,1465135.118640198,465135.1186401979,46.5135118640198,17,36.371337436264334
3436.T,959721.1445112852,-40278.85548871476,-4.027885548871479,21,65.70378554887148
6963.T,989074.8134140626,-10925.186585937394,-1.092518658593744,23,67.51738821281286
285A.T,43371604.303,42371604.303,4237.1604303,1,37.03992124471191
6526.T,1277769.2189048824,277769.21890488244,27.77692189048824,7,36.37616703014825
6525.T,948093.2375799317,-51906.76242006826,-5.19067624200683,9,63.9568539678769
6521.T,1549270.8424999998,549270.8424999998,54.92708424999997,17,50.101528554848215
6227.T,9400001.672393396,8400001.672393396,840.0001672393396,13,51.72619364761037
6613.T,4678202.5254,3678202.5253999997,367.82025253999996,15,52.537892
